Paper Name,Link,Year,Venue
On the Criterion that a Given System of Deviations from the Probable in the Case of a Correlated System of Variables is Such that it Can be Reasonably Supposed to have Arisen from Random Sampling,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/978-1-4612-4380-9_2,1900,Breakthroughs in Statistics
Measurement of Inequality of Incomes,https://www-jstor-org.proxy-ub.rug.nl/stable/2223319?origin=crossref&seq=1,1921,The Economic Journal
The factorial interpretation of test difficulty,https://doi.org/10.1007/BF02288588,1941,10.1007/BF02288588
Use of Ranks in One-Criterion Variance Analysis,https://people.ucalgary.ca/~jefox/Kruskal%20and%20Wallis%201952.pdf,1952,Journal of the American Statistical Association
"The magical number seven, plus or minus two: Some limits on our capacity for processing information",https://psycnet-apa-org.proxy-ub.rug.nl/record/1957-02914-001?doi=1,1956,The Psychological Review
Algorithms for the Assignment and Transportation Problems,https://www-semanticscholar-org.proxy-ub.rug.nl/paper/Algorithms-for-the-Assignment-and-Transportation-Munkres/848c717ba51e48afef714dfef4bd6ab1cc050dab,1957,Journal of The Society for Industrial and Applied Mathematics
A Statistical Approach to Mechanical Encoding and Searching of Literary Information,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5392697,1957,IBM Journal of Research and Development
A Coefficient of Agreement for Nomical Scales,https://journals-sagepub-com.proxy-ub.rug.nl/doi/10.1177/001316446002000104,1960,Educational and Psycological Measurement
Cours d'économie politique,https://www-cairn-info.proxy-ub.rug.nl/cours-d-economie-politique-tomes-1-et-2--9782600040143.htm,1964,Book
An Analysis of Variance Test for Normality (Complete Samples),https://www-jstor-org.proxy-ub.rug.nl/stable/2333709?seq=1,1965,Biometrika
Weighted kappa: Nominal scale agreement provision for scaled disagreement or partial credit,https://psycnet-apa-org.proxy-ub.rug.nl/record/1969-00069-001,1968,Journal of the American Psychological Association
On the Criteria To Be Used in Decomposing Systems into Modules,https://www.researchgate.net/publication/200085877_On_the_Criteria_To_Be_Used_in_Decomposing_Systems_into_Modules,1972,Communications of the ACM
Structured design,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5388187,1974,IBM Systems Journal
The protection of information in computer systems,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/1451869,1975,Proceedings of the IEEE
Comparison of the predicted and observed secondary structure of T4 phage lysozyme,https://www.sciencedirect.com/science/article/pii/0005279575901099,1975,10.1016/0005-2795(75)90109-9
A Discipline of Programming,https://www.amazon.com/Discipline-Programming-Edsger-W-Dijkstra/dp/013215871X,1976,Book
Statistical Power Analysis for the Behavioral Sciences,https://www-sciencedirect-com.proxy-ub.rug.nl/book/9780121790608/statistical-power-analysis-for-the-behavioral-sciences,1977,Book
Exploratory Data Analysis ,http://theta.edu.pl/wp-content/uploads/2012/10/exploratorydataanalysis_tukey.pdf,1977,Book
An Assessment of the Scientific Merits of Action Research,https://www-jstor-org.proxy-ub.rug.nl/stable/2392581?origin=crossref&seq=1,1978,Administrative Science Quarterly
Structured Design: Fundamentals of a Discipline of Computer Program and Systems Design,https://www.goodreads.com/book/show/946145.Structured_Design,1979,Book
Hierarchical agglomerative clustering procedure,https://www-sciencedirect-com.proxy-ub.rug.nl/science/article/pii/0031320379900499?via%3Dihub,1979,Pattern Recognition
Make -- a program for maintaining computer programs,https://onlinelibrary-wiley-com.proxy-ub.rug.nl/doi/10.1002/spe.4380090402,1979,Software: Practice and Experience
"Programs, life cycles, and laws of software evolution",https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/1456074?reload=true,1980,Proceedings of the IEEE
Some Stability Measures for Software Maintenance,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/1702781,1980,IEEE Transactions on Software Engineering
The design structure system: A method for managing the design of complex systems,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6448589,1981,IEEE Transactions on Engineering Management
Statistical Modelling of Data on Teaching Styles,https://www-jstor-org.proxy-ub.rug.nl/stable/2981826?origin=crossref&seq=1,1981,Journal of the Royal Statistical Society
On the role of scientific thought,https://dl-acm-org.proxy-ub.rug.nl/doi/abs/10.5555/539053.C1104639,1982,Chapter
Introduction to Modern Information Retrieval,https://sigir.org/files/museum/introduction_to_modern_information_retrieval/frontmatter.pdf,1983,Book
An Essay on Software Reuse,https://ieeexplore-ieee-org.proxy-ub.rug.nl/abstract/document/5010272,1984,IEEE Transactions on Software Engineering
Program Slicing,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5010248,1984,IEEE Transactions on Software Engineering
A Methodology for Collecting Valid Software Engineering Data,https://ieeexplore.ieee.org/abstract/document/5010301,1984,10.1109/TSE.1984.5010301
System Structure Analysis: Clustering with Data Bindings,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/1702084,1985,IEEE Transactions on Software Engineering
A file comparison program,https://onlinelibrary-wiley-com.proxy-ub.rug.nl/doi/10.1002/spe.4380151102,1985,Software: Practice and Experience
Ano(ND) difference algorithm and its variations,https://link-springer-com.proxy-ub.rug.nl/article/10.1007/BF01840446,1986,Algorithmica
"RIGI: A Model For Software System Construction, Integration, And Evolution Based On Module Interface Specifications",https://scholarship.rice.edu/handle/1911/16096,1986,Thesis
The Pareto Principle: Its Use and Abuse,https://www-emerald-com.proxy-ub.rug.nl/insight/content/doi/10.1108/eb024706/full/html,1987,Journal of Services Marketing
The program dependence graph and its use in optimization,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/24039.24041,1987,ACM Transactions on Programming Languages and Systems
Efficient randomized pattern-matching algorithms,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5390135,1987,IBM Journal of Research and Development
The TAME project: towards improvement-oriented software environments,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6156,1988,IEEE Transactions on Software Engineering
Interprocedural slicing using dependence graphs,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/960116.53994,1988,TOPLAS
Simple Fast Algorithms for the Editing Distance between Trees and Related Problems,https://epubs-siam-org.proxy-ub.rug.nl/doi/10.1137/0218082,1989,SIAM Journal on Computing
Program understanding: Challenge for the 1990s,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/5387570,1989,IBM Systems Journal
Toward higher-level abstractions for software systems,https://dl-acm-org.proxy-ub.rug.nl/doi/abs/10.1016/0169-023X%2890%2990008-2,1990,Data & Knowledge Engineering
Identifying the semantic and textual differences between two versions of a program,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/93542.93574,1990,PLDI
Introduction to WordNet: An On-line Lexical Database,https://wordnetcode.princeton.edu/5papers.pdf,1990,International Journal of Lexicography
Feature-Oriented Domain Analysis feasability study,https://www.researchgate.net/publication/215588323_Feature-Oriented_Domain_Analysis_FODA_feasibility_study,1990,Technical report
Where does reuse start?,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/382296.382702,1990,ACM SIGSOFT Software Engineering Notes
Analyzing error-prone system structure,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/67595,1991,IEEE Transactions on Software Engineering
Control-flow analysis of higher-order languages of taming lambda,https://dl-acm-org.proxy-ub.rug.nl/doi/10.5555/124950,1991,Thesis
Phi/Phimax: Review and Synthesis,https://doi.org/10.1177/001316449105100403,1991,10.1177/001316449105100403
An intelligent tool for re-engineering software modularity,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/130626,1991,ICSE
Foundations for the study of software architecture,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/141874.141884,1992,SIGSOFT
"The pragmatics of information retrieval experimentation, revisited",https://www-sciencedirect-com.proxy-ub.rug.nl/science/article/pii/030645739290005K?via%3Dihub,1992,Information Processing & Management
Documenting frameworks using patterns,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/141937.141943,1992,ACM SIGPLAN Notices
Ridge Estimators in Logistic Regression,https://www-jstor-org.proxy-ub.rug.nl/stable/2347628?seq=1,1992,Applied Statistics
Dominance statistics: Ordinal analyses to answer ordinal questions,https://psycnet-apa-org.proxy-ub.rug.nl/record/1994-08169-001,1993,Journal of the American Psychological Association
Measuring and assessing maintainability at the end of high level design,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/366952?tp=&signout=success,1993,ICSM 
A translation approach to portable ontology specifications,https://www-sciencedirect-com.proxy-ub.rug.nl/science/article/pii/S1042814383710083,1993,Knowledge Acquisition
A Reverse Engineering Approach To Subsystem Structure Identification,http://citeseerx.ist.psu.edu.proxy-ub.rug.nl/viewdoc/download;jsessionid=48CEF9A3F94479B0A183B9B9F1923DAD?doi=10.1.1.32.1903&rep=rep1&type=pdf,1993,Chapter
PD and joint application design: a transatlantic comparison,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/153571.163265,1993,Communications of the ACM
Object-oriented metrics that predict maintainability,https://www-sciencedirect-com.proxy-ub.rug.nl/science/article/pii/016412129390077B,1993,Journal of Systems and Software
Identifying redundancy in source code using fingerprints,https://dl-acm-org.proxy-ub.rug.nl/doi/10.5555/962289.962305,1993,CASCON
Planning for change: a reconfiguration language for distributed systems,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/289939,1994,Workshop on Configurable Distributed Systems
A metrics suite for object oriented design,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/295895,1994,IEEE Transactions on Software Engineering
Overview of Teknowledge's domain-specific software architecture program,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/190679.190686,1994,ACM SIGSOFT Software Engineering Notes
The Software Architecture Renaissance,https://resources.sei.cmu.edu/library/asset-view.cfm?assetid=30079,1994,Crosstalk - The Journal of Defense Software Engineering
Semantic Diff: a tool for summarizing the effects of modifications,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/336770,1994,ICSM
C4.5: Programs for Machine Learning,https://link-springer-com.proxy-ub.rug.nl/article/10.1007/BF00993309,1994,Machine Learning
Using metrics to evaluate software system maintainability,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/303623,1994,Computer
OO Design Quality Metrics - An Analysis of Dependencies,https://linux.ime.usp.br/~joaomm/mac499/arquivos/referencias/oodmetrics.pdf,1994,Workshop Pragmatic and Theoretical Directions in Object-Oriented Software Metrics
Understanding quality in conceptual modeling,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/268955,1994,IEEE Software
Object-Oriented Analysis and Design With Applications,https://www.amazon.com/Object-Oriented-Analysis-Design-Applications-2nd/dp/0805353402,1994,Book
Software aging,https://ieeexplore.ieee.org/abstract/document/296790,1994,10.1109/ICSE.1994.296790
"Architectural Blueprints - The ""4+1"" View Model of Software Architecture",https://www.researchgate.net/publication/220018231_The_41_View_Model_of_Architecture,1995,IEEE Software
Abstractions for software architecture and tools to support them,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/385970,1995,IEEE Transactions on Software Engineering
Design patterns: elements of reusable object-oriented software,https://www.amazon.nl/Design-patterns-elements-reusable-object-oriented/dp/0201633612,1995,Book
Software reflexion models: bridging the gap between source and high-level models,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/222132.222136,1995,ACM SIGSOFT Software Engineering Notes
Estimating continuous distributions in Bayesian classifiers,https://dl-acm-org.proxy-ub.rug.nl/doi/10.5555/2074158.2074196,1995,UAI
"Mythical Man-Month, Anniversary Edition",https://www.amazon.com/Mythical-Man-Month-Anniversary-Software-Engineering-ebook/dp/B00B8USS14,1995,Book
Structural redocumentation: a case study,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/363166,1995,IEEE Software
A Multi-Level Algorithm For Partitioning Graphs,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/1383164,1995,Supercomputing
A study of cross-validation and bootstrap for accuracy estimation and model selection,https://dl-acm-org.proxy-ub.rug.nl/doi/10.5555/1643031.1643047,1995,IJCAI
The power of decision tables,https://link-springer-com.proxy-ub.rug.nl/chapter/10.1007/3-540-59286-5_57,1995,ECML
Program comprehension during software maintenance and evolution,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/402076,1995,Computer
On finding duplication and near-duplication in large software systems,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/514697,1995,WCRE
ADLs and Dynamic Architecture Changes ,https://dl-acm-org.proxy-ub.rug.nl/doi/pdf/10.1145/243327.243340,1996,ISAW
Recommended Best Industrial Practice for Software Architecture Evaluation,https://resources.sei.cmu.edu/library/asset-view.cfm?assetid=12653,1996,Technical Report
Software Architecture: Perspectives on an Emerging Disciple,https://books.google.be/books/about/Software_Architecture.html?id=5KlQAAAAMAAJ&hl=nl,1996,Book
A component- and message-based architectural style for GUI software,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/508313,1996,IEEE Transactions on Software Engineering
Efficient path profiling,https://dl-acm-org.proxy-ub.rug.nl/doi/10.5555/243846.243857,1996,MICRO
A System of Patterns: Pattern-Oriented Software Architecture: 1,https://www.amazon.nl/System-Patterns-Pattern-Oriented-Software-Architecture/dp/0471958697,1996,Book
A validation of object-oriented design metrics as quality indicators,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/544352,1996,IEEE Transactions on Software Engineering
Change detection in hierarchically structured information,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/235968.233366,1996,ACM SIGMOD Record
Property-based software engineering measurement,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/481535,1996,IEEE Transactions on Software Engineering
Design rationale systems: understanding the issues,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/592267,1997,IEEE Expert
A formal approach to software architecture,https://dl-acm-org.proxy-ub.rug.nl/doi/10.5555/926062,1997,Book
UML Distilled: Applying the Standard Object Modeling Language,https://books.google.nl/books/about/UML_Distilled.html?id=JdEZAQAAIAAJ&redir_esc=y,1997,Book
The Orphan Adoption problem in architecture maintenance,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/624578,1997,WCRE
Using clustering algorithms in legacy systems remodularization,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/624574,1997,WCRE
The measurement of software design quality,https://link-springer-com.proxy-ub.rug.nl/article/10.1023/A:1018914711050,1997,Annals of Software Engineering
Reexamining the fault density component size connection,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/582978,1997,IEEE Software
Bayesian Network Classifiers,https://link-springer-com.proxy-ub.rug.nl/article/10.1023/A:1007465528199,1997,Machine Learning
File clustering using name conventions for legacy systems,https://dl-acm-org.proxy-ub.rug.nl/doi/10.5555/782010.782012,1997,CASCON
Refinement of information flow architectures,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/630427,1997,ICFEM
Call graph construction in object-oriented languages,https://dl-acm-org.proxy-ub.rug.nl/doi/10.1145/263700.264352,1997,ACM SIGPLAN Notices
