Paper Name,Link,Year,Type,Analysed,MSR,SA,MSR4SA,Rank,Data Extraction,Note,Description,
Refactoring: Improving The Design Of Existing Code,https://books.google.nl/books?id=HmrDHwgkbPsC&printsec=frontcover&hl=nl#v=onepage&q&f=false,1999,Book,No,No,No,No,,,,"The book is about manually refactoring code, so MSR is not used",
A Survey on Software Smells,https://www.researchgate.net/publication/322110451_A_Survey_on_Software_Smells,2017,Journal of Systems and Software,No,Yes,Yes,No,,,,"It is a systematic literature review, so it is outside of our scope",
Architectural bad smells in Software Product Lines: An exploratory study,https://www.researchgate.net/publication/262292735_Architectural_bad_smells_in_Software_Product_Lines_An_exploratory_study,2014,WICSA,Yes,,,,,,,"It is part of the WICSA conference, so it is already analysed",
Refactoring in Large Software Projects: Performing Complex Restructurings Successfully,https://books.google.nl/books/about/Refactoring_in_Large_Software_Projects.html?id=bCEYuB83ROcC&redir_esc=y,2006,Book,No,No,Yes,No,,,,"The book is about manually refactoring code, so MSR is not used",
Software Architecture in Practice,https://pdfcoffee.com/software-architecture-in-practice-3-pdf-free.html,2012,Book,No,No,Yes,No,,,,"This book discusses software architecture extensively, but does not mention anything MSR related",
Are automatically-detected code anomalies relevant to architectural modularity? An exploratory analysis of evolving systems,https://www.researchgate.net/publication/228459961_Are_automatically-detected_code_anomalies_relevant_to_architectural_modularity_An_exploratory_analysis_of_evolving_systems,2012,AOSD,No,Yes,Yes,Yes,Not ranked,Yes (Dennis),,This paper presents an exploratory analysis that investigates to what extent the automatically-detected code anomalies are related to problems that occur with an evolving system's architecture,
On the relationship of code-anomaly agglomerations and architectural problems,https://www.researchgate.net/publication/282547707_On_the_relationship_of_code-anomaly_agglomerations_and_architectural_problems,2015,Journal of Software Engineering Research and Development,No,Yes,Yes,Yes,Not ranked,,,"In this study they analyse how agglomerations and architectural problems relate to each other, and how agglomerations can support the diagnosis of well-known architectural problems. They do not use MSR in their study",
Identifying and Prioritizing Architectural Debt Through Architectural Smells: A Case Study in a Large Software Company,https://www.researchgate.net/profile/Riccardo-Roveda/publication/327649135_Identifying_and_Prioritizing_Architectural_Debt_Through_Architectural_Smells_A_Case_Study_in_a_Large_Software_Company_12th_European_Conference_on_Software_Architecture_ECSA_2018_Madrid_Spain_September/links/5c32765ea6fdccd6b59852fc/Identifying-and-Prioritizing-Architectural-Debt-Through-Architectural-Smells-A-Case-Study-in-a-Large-Software-Company-12th-European-Conference-on-Software-Architecture-ECSA-2018-Madrid-Spain-Septe.pdf?origin=publication_detail,2018,ECSA,Yes,,,,,,,"It is part of the ECSA conference, so it is already analysed",
An Empirical Study of Architectural Decay in Open-Source Software,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/8417151,2018,ICSA,Yes,,,,,,,"It is part of the ICSA conference, so it is already analysed",
Refactoring for software architecture smells,https://www.researchgate.net/profile/Tushar-Sharma-2/publication/307089168_Refactoring_for_software_architecture_smells/links/5d23334a92851cf4406f8df9/Refactoring-for-software-architecture-smells.pdf?origin=publication_detail,2016,Workshop on Software Refactoring,No,Yes,Yes,No,,,,"It is a systematic literature review, so it is outside of our scope",
Towards a prioritization of code debt: A code smell Intensity Index,https://www.researchgate.net/publication/291331040_Towards_a_prioritization_of_code_debt_A_code_smell_Intensity_Index,2015,Workshop on Managing Technical Debt,No,Yes,Yes,Yes,Not ranked,,,They apply Intensity on the detection of six well known and common smells,
Prioritization of Code Anomalies Based on Architecture Sensitiveness,https://ieeexplore-ieee-org.proxy-ub.rug.nl/document/6800183,2013,Brazilian Symposium on Software Engineering,No,Yes,Yes,Yes,Not ranked,Yes (Dennis),Automatic identification of code anomalies for 4 systems,"In this paper, they present and evaluate four different heuristics for helping developers to prioritize code anomalies, based on their potential contribution to the software architecture degradation",
Recommendation system for software refactoring using innovization and interactive dynamic optimization,https://www.researchgate.net/publication/311101104_Recommendation_system_for_software_refactoring_using_innovization_and_interactive_dynamic_optimization,2014,International Conference on Automated Software Engineering,No,Yes,No,No,,,,They propose a novel recommendation tool for software refactoring that dynamically adapts and suggests refactorings to developers based on their feedback and introduced code changes,
Cours d'économie politique,https://www-cairn-info.proxy-ub.rug.nl/cours-d-economie-politique-tomes-1-et-2--9782600040143.htm,1964,Book,No,No,No,No,,,,It is a book about political economy,
The Pareto Principle: Its Use and Abuse,https://www-emerald-com.proxy-ub.rug.nl/insight/content/doi/10.1108/eb024706/full/html,1987,Journal of Services Marketing,No,No,No,No,,,,It is a journal about the pareto principle,
